ele,time,name,xcoord,ycoord,zcoord
3.624702,24-04-2025 04:53,698,73.689803,15.698058,3.624702
2.741516,24-04-2025 04:54,699,73.689001,15.695391,2.741516
2.847031,24-04-2025 04:57,700,73.687422,15.68966,2.847031
2.785965,24-04-2025 05:01,701,73.685187,15.681037,2.785965
2.480103,24-04-2025 05:03,702,73.685891,15.678249,2.480103
5.598808,24-04-2025 05:10,703,73.696061,15.667128,5.598808
3.856834,24-04-2025 05:14,704,73.702429,15.661743,3.856834
6.920128,24-04-2025 05:18,705,73.709277,15.655039,6.920128
5.800667,24-04-2025 05:23,706,73.711303,15.647187,5.800667
4.579597,24-04-2025 05:26,707,73.709476,15.640447,4.579597
5.43335,24-04-2025 05:31,708,73.706806,15.63175,5.43335
5.814018,24-04-2025 05:33,709,73.706709,15.629654,5.814018
8.192886,24-04-2025 05:37,710,73.709899,15.622449,8.192886
8.527809,24-04-2025 05:42,711,73.718217,15.615445,8.527809
8.151825,24-04-2025 05:45,712,73.72325,15.610444,8.151825
6.161308,24-04-2025 05:49,713,73.726079,15.607884,6.161308
